rank,score,name,cid,aliases
1,0.6828978061676025,Clark Kent Superman dc Extended Universe,QmXuUoDJM1sstb8u9xukRhLpcEqFTvUUUmSvL9jx5qnw5o,Clark Kent Superman dc Extended Universe
2,0.6612052917480469,Clark Kent Kalel Superman dc Comics,QmW5V9mrtj1vkCVvcPCo4N2KPJ8R6ZmeAegN4FGHrXSoHQ,Clark Kent Kalel Superman dc Comics
3,0.6472319960594177,Clark Superman Kent my Adventures With Superman,QmTtbG6adBuuEqTdqneBgX6gy4aURv1Rxmq3ZAnRnGVLTa,Clark Superman Kent my Adventures With Superman
4,0.6461998224258423,Michael Holt Mister Terrific Superman 2025 Film,QmTYDWZDbt3MRPMF24f8iQDARkW68thqhQkh5QSuF4jAxi,Michael Holt Mister Terrific Superman 2025 Film
5,0.6247792840003967,Lois Lane Superman 2025 Film,QmegtJJGwb3DTMitNwbNTomVv1aQQJjmd3CDjmEbvctHSg,Lois Lane Superman 2025 Film
6,0.6171939373016357,Clark Kent Kalel Superman dc Comics,QmbqwgJJzkW8PS5emdx6qy7VX3L5c1eWeRyFnPmTnSa2id,Clark Kent Kalel Superman dc Comics
7,0.6041225790977478,Clark Kent Superman Superman 2025 Film,QmT7Z65RYndqNbxH1wxdjnJPdJXvmo1xhxKReCZzHrzB9e,Clark Kent Superman Superman 2025 Film
8,0.4970899224281311,Eminem Superman 2000s Songs,QmQdPYbirCrUaeJDAFX1cQQE6nghKMh5KpwKBQ1QT6bAc7,Eminem Superman 2000s Songs
