rank,score,name,cid,aliases
1,0.6008636355400085,Hermione Granger Harry Potter,QmVPxwJ4bTj8pfaRrJk6KvpkS8vWNeb8pFN9bmERE4FzGR,Hermione Granger Harry Potter
2,0.5519462823867798,"Dr. Harrison ""Harry"" Wells (Earth-2)",QmTyzaaBLcndcXk6pEWH6AW1FaoPW2aMVQRfNSWFUfvDHg,"Dr. Harrison ""Harry"" Wells (Earth-2); The Flash (2014); Harry; Earth-2; 2014"
3,0.3936913013458252,Spider-Man (Franchise),QmQrdNJE12N555iAUwrexc8zjuk4YjgMpYretUFgLEd4yf,Harry Osborn; Spider-Man (Franchise); Franchise
